word,vowels,condition,harmonic,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_uni_score_smoothed,pos_bi_score,pos_bi_score_smoothed
b e p o,e o,wug unsuffixed,TRUE,-4.407265716,-6.630017824,-6.628214356,1.2472228900995799,1.2472269226280779,1.0074138937536485,1.0074444573688497
d i m u,i u,wug unsuffixed,TRUE,-4.4184063,-7.981414335,-7.964803518,1.214390825059028,1.214407693290877,1.0013426736719206,1.0013958357566592
p u g i,u i,wug unsuffixed,TRUE,-4.4184063,-6.631896005,-6.627331949,1.2667174843381708,1.2667079978216051,1.0040863981319323,1.0041293474467838
n o d o,o o,wug unsuffixed,TRUE,-5.680684174,-6.266032622,-6.266332031,1.1218980741619446,1.1219563598575153,1.007589025,1.007618936838432
n e k o f i,e o i,wug suffixed,FALSE,-6.17202467,-8.7803387,-8.776049142,1.4401907089315227,1.440129994788116,1.0153995910122897,1.0154879870589373
b e k e f i,e e i,wug suffixed,FALSE,-4.898606212,-5.515641575,-5.517564073,1.6023623376530638,1.6022259219674835,1.1384575777880293,1.1378572181981825
m e t e f i,e e i,wug suffixed,FALSE,-4.898606212,-5.515641575,-5.517564073,1.6023623376530638,1.6022259219674835,1.1384575777880293,1.1378572181981825
m i p u f i,i u i,wug suffixed,TRUE,-6.183165255,-11.14795391,-11.1250167,1.4073586438909709,1.407310765450915,1.0070637702154248,1.0071919086215753
g i t i f i,i i i,wug suffixed,TRUE,-5.294276865,-6.296692179,-6.29843174,1.5165822282459038,1.5164833643539377,1.0925653020059045,1.092225202540518
p i d i f i,i i i,wug suffixed,TRUE,-5.294276865,-6.296692179,-6.29843174,1.5165822282459038,1.5164833643539377,1.0925653020059045,1.092225202540518
k o b o f i,o o i,wug suffixed,FALSE,-7.445443129,-8.416353497,-8.414166817,1.3148658929938875,1.3148594320175535,1.0155747223608012,1.0156624665285197
k o n e f i,o e i,wug suffixed,FALSE,-6.17202467,-7.507022129,-7.50642019,1.4770375217154286,1.476955359196921,1.0752351609754198,1.0748701296789316
d o m e f i,o e i,wug suffixed,FALSE,-6.17202467,-7.507022129,-7.50642019,1.4770375217154286,1.476955359196921,1.0752351609754198,1.0748701296789316
t u g i f i,u i i,wug suffixed,TRUE,-6.183165255,-8.378234628,-8.374077128,1.4596853031701136,1.4596110699816434,1.0487824648780586,1.048605335144915
t u b u f i,u u i,wug suffixed,TRUE,-7.072053646,-8.313578825,-8.310110989,1.3504617188151806,1.3504384710786206,1.0305897480321207,1.0306303173688127
g u n u f i,u u i,wug suffixed,TRUE,-7.072053646,-8.313578825,-8.310110989,1.3504617188151806,1.3504384710786206,1.0305897480321207,1.0306303173688127
b e p o f i,e o i,wug suffixed,FALSE,-6.17202467,-8.7803387,-8.776049142,1.4401907089315227,1.440129994788116,1.0153995910122897,1.0154879870589373
d i m u f i,i u i,wug suffixed,TRUE,-6.183165255,-11.14795391,-11.1250167,1.4073586438909709,1.407310765450915,1.0070637702154248,1.0071919086215753
p u g i f i,u i i,wug suffixed,TRUE,-6.183165255,-8.378234628,-8.374077128,1.4596853031701136,1.4596110699816434,1.0487824648780586,1.048605335144915
n o d o f i,o o i,wug suffixed,FALSE,-7.445443129,-8.416353497,-8.414166817,1.3148658929938875,1.3148594320175535,1.0155747223608012,1.0156624665285197
n e k o f e,e o e,wug suffixed,TRUE,-5.974189344,-9.030611587,-9.025646106,1.4755899937944548,1.4754955580174562,1.0146844539443518,1.0147782638509883
b e k e f e,e e e,wug suffixed,TRUE,-4.700770886,-5.62841436,-5.630166072,1.6377616225159959,1.6375914851968236,1.1464432750466704,1.1457824606869451
m e t e f e,e e e,wug suffixed,TRUE,-4.700770886,-5.62841436,-5.630166072,1.6377616225159959,1.6375914851968236,1.1464432750466704,1.1457824606869451
m i p u f e,i u e,wug suffixed,FALSE,-5.985329929,-10.97735024,-10.95636709,1.442757928753903,1.4426763286802553,1.009209181419239,1.009321078245422
g i t i f e,i i e,wug suffixed,FALSE,-5.096441538,-6.625991352,-6.627400263,1.551981513108836,1.5518489275832779,1.101981273400422,1.1015698914451784
p i d i f e,i i e,wug suffixed,FALSE,-5.096441538,-6.625991352,-6.627400263,1.551981513108836,1.5518489275832779,1.101981273400422,1.1015698914451784
k o b o f e,o o e,wug suffixed,TRUE,-7.247607803,-8.666626384,-8.663763781,1.3502651778568195,1.3502249952468937,1.0148595852928632,1.0149527433205707
k o n e f e,o e e,wug suffixed,TRUE,-5.974189344,-7.619794914,-7.619022189,1.5124368065783607,1.512320922426261,1.083220858234061,1.0827953721676942
d o m e f e,o e e,wug suffixed,TRUE,-5.974189344,-7.619794914,-7.619022189,1.5124368065783607,1.512320922426261,1.083220858234061,1.0827953721676942
t u g i f e,u i e,wug suffixed,FALSE,-5.985329929,-8.7075338,-8.703045652,1.4950845880330457,1.4949766332109835,1.058198436272576,1.0579500240495754
t u b u f e,u u e,wug suffixed,FALSE,-6.87421832,-8.142975161,-8.141461386,1.3858610036781127,1.385804034307961,1.0327351592359348,1.0327594869926595
g u n u f e,u u e,wug suffixed,FALSE,-6.87421832,-8.142975161,-8.141461386,1.3858610036781127,1.385804034307961,1.0327351592359348,1.0327594869926595
b e p o f e,e o e,wug suffixed,TRUE,-5.974189344,-9.030611587,-9.025646106,1.4755899937944548,1.4754955580174562,1.0146844539443518,1.0147782638509883
d i m u f e,i u e,wug suffixed,FALSE,-5.985329929,-10.97735024,-10.95636709,1.442757928753903,1.4426763286802553,1.009209181419239,1.009321078245422
p u g i f e,u i e,wug suffixed,FALSE,-5.985329929,-8.7075338,-8.703045652,1.4950845880330457,1.4949766332109835,1.058198436272576,1.0579500240495754
n o d o f e,o o e,wug suffixed,TRUE,-7.247607803,-8.666626384,-8.663763781,1.3502651778568195,1.3502249952468937,1.0148595852928632,1.0149527433205707
